Sample Number (100 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),timeStart (s),timeStartUTC (s),GPSLatitude (deg),GPSLongitude (deg),GPSHeight (m),GPSSat (),Temp (*C),Pressure (Pa),Heigh BME (m),Vbat (V),FR1 (%),FR2 (%),1 (),2 (),Vel (m/s),ALx (g),ALy (g),ALz (g),Agx (deg/s),Agy (deg/s),Agz (deg/s),MagX (Gauss),MagY (Gauss),MagZ (Gauss),TimeNRF (ms),TimeFR (ms),TimeVbat (ms),TimeBME280 (ms),TimeLSM6DSL (ms),TimeLIS3MDL (ms),TimeSdData (ms),quat (Gauss),quat1 (),quat2 (),quat3 (),quatGyro ()
0,1657110689643,3636446,41445,56.4113083,40.9760094,125.0000000,18.0000000,31.2445068,100046.0000000,2.0000000,3.20000,68.24000,62.16000,37.00000,0.00000,0.0000000,-0.0327148,0.0415039,1.0366211,2.0141602,-3.6010742,0.1220703,0.0805664,0.3725586,0.4379883,15.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,26.0000000,0.0000000,0.0555023,0.1932581,0.8903726,0.0000000
1,1657110689663,3636466,41445.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2445068,100046.0000000,2.0000000,3.20000,100.14000,100.16000,37.00000,0.00000,0.0000000,-0.0297852,0.0410156,1.0458984,2.4414062,0.1220703,10.1318359,0.0800781,0.3740234,0.4399414,16.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,28.0000000,0.0000000,0.0554502,0.1932602,0.8902743,0.0000000
2,1657110689673,3636476,41445.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2445068,100046.0000000,2.0000000,3.20000,100.14000,100.16000,37.00000,0.00000,0.0000000,-0.0224609,0.0419922,1.0483398,0.5493164,-3.0517578,-1.8310547,0.0795898,0.3735352,0.4414062,16.0000000,0.0000000,0.0000000,0.0000000,1.0000000,0.0000000,28.0000000,0.0000000,0.0554443,0.1932278,0.8902832,0.0000000
3,1657110689683,3636486,41445.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2445068,100046.0000000,2.0000000,3.20000,100.14000,100.16000,37.00000,0.00000,0.0000000,-0.0385742,0.0449219,1.0419922,3.5400391,-2.2583008,-0.4272461,0.0795898,0.3720703,0.4423828,16.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,28.0000000,0.0000000,0.0554066,0.1932038,0.8902853,0.0000000
4,1657110689693,3636496,41445.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2445068,100046.0000000,2.0000000,3.20000,100.14000,100.16000,37.00000,0.00000,0.0000000,-0.0288086,0.0458984,1.0356445,1.8920898,-3.1127930,0.0000000,0.0791016,0.3725586,0.4423828,16.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,28.0000000,0.0000000,0.0553864,0.1931714,0.8902853,0.0000000
5,1657110689703,3636506,41445.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2445068,100046.0000000,2.0000000,3.20000,100.14000,100.16000,37.00000,0.00000,0.0000000,-0.0327148,0.0468750,1.0371094,2.3803711,-4.5166016,-0.6713867,0.0786133,0.3706055,0.4414062,16.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,28.0000000,0.0000000,0.0553609,0.1931244,0.8902886,0.0000000
6,1657110689719,3636522,41445.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2445068,100046.0000000,2.0000000,3.20000,100.14000,100.16000,37.00000,0.00000,0.0000000,-0.0317383,0.0449219,1.0390625,2.3803711,-3.4790039,0.0000000,0.0786133,0.3696289,0.4428711,14.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,28.0000000,0.0000000,0.0553205,0.1930659,0.8902886,0.0000000
7,1657110689729,3636532,41445.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2445068,100046.0000000,2.0000000,3.20000,100.14000,100.16000,37.00000,0.00000,0.0000000,-0.0253906,0.0405273,1.0444336,2.1362305,-4.6386719,0.2441406,0.0791016,0.3701172,0.4423828,14.0000000,0.0000000,0.0000000,1.0000000,0.0000000,0.0000000,28.0000000,0.0000000,0.0552976,0.1930178,0.8902874,0.0000000
8,1657110689739,3636542,41445.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2445068,100046.0000000,2.0000000,3.20000,100.14000,100.16000,37.00000,0.00000,0.0000000,-0.0341797,0.0424805,1.0405273,2.6855469,-3.9672852,-0.1831055,0.0791016,0.3696289,0.4418945,14.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,28.0000000,0.0000000,0.0552689,0.1929760,0.8902883,0.0000000
9,1657110689749,3636552,41445.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2445068,100046.0000000,2.0000000,3.20000,100.14000,100.16000,37.00000,0.00000,0.0000000,-0.0327148,0.0400391,1.0419922,4.0893555,-3.8452148,-0.4272461,0.0795898,0.3671875,0.4418945,14.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,28.0000000,0.0000000,0.0552253,0.1929363,0.8902904,0.0000000
